#model_version:v2023.03.01,score_date:2023-03-19T00:00:00+0000
cve,epss,percentile
CVE-2023-0711,0.00052,0.18252
CVE-2023-0712,0.00052,0.18252
CVE-2023-0713,0.00052,0.18252
CVE-2023-0715,0.00052,0.18252
CVE-2023-0716,0.00052,0.18252
CVE-2023-0717,0.00052,0.18252
CVE-2023-0718,0.00052,0.18252
CVE-2023-0719,0.00052,0.18252
CVE-2023-0720,0.00052,0.18252
CVE-2023-0722,0.00069,0.27934
CVE-2023-0723,0.00092,0.37851
CVE-2023-0724,0.00069,0.27934
CVE-2023-0725,0.00069,0.27934
CVE-2023-0726,0.00069,0.27934
CVE-2023-0727,0.00092,0.37851
CVE-2023-0728,0.00092,0.37851
CVE-2023-0730,0.00092,0.37851
CVE-2023-0731,0.00045,0.11838
CVE-2023-0732,0.00046,0.13906
CVE-2023-0734,0.00046,0.13906
CVE-2023-0735,0.00048,0.14807
CVE-2023-0736,0.00045,0.11838
CVE-2023-0739,0.00050,0.17087
CVE-2023-0740,0.00050,0.16929
CVE-2023-0741,0.00050,0.16929
CVE-2023-0742,0.00050,0.16929
CVE-2023-0743,0.00050,0.16929
CVE-2023-0744,0.00170,0.52300
CVE-2023-0745,0.00091,0.37652
CVE-2023-0746,0.00046,0.13906
CVE-2023-0747,0.00045,0.11838
CVE-2023-0748,0.00046,0.13906
CVE-2023-0749,0.00049,0.15258
CVE-2023-0751,0.00048,0.14932
CVE-2023-0754,0.00111,0.42600
CVE-2023-0755,0.00130,0.46174
CVE-2023-0758,0.00063,0.25249
CVE-2023-0759,0.00050,0.16929
CVE-2023-0760,0.00063,0.25429
CVE-2023-0770,0.00059,0.22886
CVE-2023-0771,0.00050,0.16929
CVE-2023-0772,0.00049,0.15258
CVE-2023-0774,0.00055,0.20696
CVE-2023-0776,0.00141,0.48097
CVE-2023-0777,0.00087,0.35727
CVE-2023-0780,0.00046,0.13906
CVE-2023-0781,0.00063,0.25249
CVE-2023-0782,0.00062,0.24058
CVE-2023-0783,0.00063,0.25249
CVE-2023-0784,0.00063,0.25249
CVE-2023-0785,0.00052,0.18464
CVE-2023-0786,0.00062,0.24221
CVE-2023-0787,0.00045,0.11838
CVE-2023-0788,0.00066,0.26739
CVE-2023-0789,0.00097,0.39040
CVE-2023-0790,0.00050,0.16929
CVE-2023-0791,0.00044,0.10225
CVE-2023-0792,0.00045,0.11838
CVE-2023-0793,0.00050,0.16929
CVE-2023-0794,0.00045,0.11838
CVE-2023-0795,0.00042,0.05681
CVE-2023-0796,0.00042,0.05681
CVE-2023-0797,0.00042,0.05681
CVE-2023-0798,0.00042,0.05681
CVE-2023-0799,0.00045,0.12044
CVE-2023-0800,0.00045,0.12044
CVE-2023-0801,0.00045,0.12044
CVE-2023-0802,0.00045,0.12044
CVE-2023-0803,0.00045,0.12044
CVE-2023-0804,0.00042,0.05681
CVE-2023-0808,0.00050,0.17361
CVE-2023-0810,0.00045,0.11838
CVE-2023-0811,0.00043,0.06927
CVE-2023-0814,0.00049,0.15258
CVE-2023-0815,0.00049,0.15258
CVE-2023-0817,0.00053,0.19362
CVE-2023-0818,0.00044,0.10504
CVE-2023-0819,0.00053,0.19362
CVE-2023-0821,0.00044,0.11053
CVE-2023-0822,0.00050,0.16929
CVE-2023-0827,0.00090,0.36841
CVE-2023-0830,0.00204,0.56665
CVE-2023-0839,0.00091,0.37428
CVE-2023-0840,0.00053,0.18961
CVE-2023-0841,0.00063,0.25249
CVE-2023-0844,0.00045,0.11838
CVE-2023-0845,0.00044,0.11053
CVE-2023-0846,0.00046,0.13906
CVE-2023-0847,0.00185,0.54079
CVE-2023-0848,0.00056,0.21096
CVE-2023-0849,0.00129,0.46028
CVE-2023-0850,0.00054,0.19735
CVE-2023-0860,0.00046,0.13906
CVE-2023-0861,0.00068,0.27492
CVE-2023-0862,0.00069,0.28060
CVE-2023-0866,0.00053,0.19362
CVE-2023-0867,0.00046,0.13906
CVE-2023-0868,0.00046,0.13906
CVE-2023-0869,0.00046,0.13906
CVE-2023-0877,0.00048,0.14945
CVE-2023-0878,0.00046,0.13906
CVE-2023-0879,0.00062,0.24221
CVE-2023-0880,0.00045,0.11838
CVE-2023-0882,0.00066,0.26718
CVE-2023-0883,0.00063,0.25249
CVE-2023-0887,0.00043,0.06927
CVE-2023-0888,0.00049,0.15338
CVE-2023-0895,0.00049,0.15258
CVE-2023-0901,0.00046,0.13906
CVE-2023-0902,0.00051,0.17664
CVE-2023-0903,0.00061,0.23827
CVE-2023-0904,0.00061,0.23827
CVE-2023-0905,0.00054,0.19863
CVE-2023-0906,0.00091,0.37428
CVE-2023-0907,0.00042,0.05636
CVE-2023-0908,0.00042,0.05636
CVE-2023-0909,0.00042,0.05636
CVE-2023-0910,0.00076,0.31056
CVE-2023-0912,0.00061,0.23827
CVE-2023-0913,0.00061,0.23827
CVE-2023-0914,0.00046,0.12624
CVE-2023-0915,0.00061,0.23517
CVE-2023-0916,0.00060,0.23486
CVE-2023-0917,0.00062,0.24624
CVE-2023-0918,0.00062,0.24624
CVE-2023-0919,0.00044,0.10225
CVE-2023-0927,0.00100,0.39847
CVE-2023-0928,0.00062,0.24389
CVE-2023-0929,0.00062,0.24389
CVE-2023-0930,0.00062,0.24592
CVE-2023-0931,0.00062,0.24389
CVE-2023-0932,0.00100,0.39847
CVE-2023-0933,0.00062,0.24592
CVE-2023-0934,0.00045,0.11838
CVE-2023-0935,0.00436,0.70698
CVE-2023-0936,0.00052,0.18071
CVE-2023-0938,0.00063,0.25249
CVE-2023-0939,0.00076,0.31056
CVE-2023-0941,0.00062,0.24142
CVE-2023-0942,0.00065,0.26540
CVE-2023-0943,0.00050,0.16929
CVE-2023-0945,0.00045,0.11838
CVE-2023-0946,0.00076,0.31056
CVE-2023-0947,0.00125,0.45335
CVE-2023-0949,0.00045,0.11838
CVE-2023-0951,0.00050,0.16929
CVE-2023-0952,0.00049,0.15258
CVE-2023-0953,0.00050,0.16929
CVE-2023-0957,0.00125,0.45267
CVE-2023-0960,0.00064,0.25861
CVE-2023-0961,0.00077,0.31329
CVE-2023-0962,0.00077,0.31329
CVE-2023-0963,0.00164,0.51326
CVE-2023-0964,0.00090,0.36665
CVE-2023-0966,0.00063,0.25249
CVE-2023-0968,0.00052,0.18409
CVE-2023-0973,0.00043,0.06927
CVE-2023-0978,0.00042,0.05636
CVE-2023-0979,0.00076,0.31056
CVE-2023-0980,0.00090,0.36665
CVE-2023-0981,0.00090,0.36665
CVE-2023-0982,0.00090,0.36665
CVE-2023-0986,0.00090,0.36665
CVE-2023-0987,0.00050,0.17305
CVE-2023-0988,0.00115,0.43689
CVE-2023-0994,0.00084,0.34023
CVE-2023-0995,0.00045,0.11838
CVE-2023-0996,0.00235,0.59782
CVE-2023-0997,0.00075,0.30225
CVE-2023-0998,0.00086,0.34764
CVE-2023-0999,0.00115,0.43689
CVE-2023-1002,0.00161,0.51063
CVE-2023-1003,0.00045,0.12135
CVE-2023-1004,0.00052,0.18501
CVE-2023-1005,0.00052,0.18501
CVE-2023-1006,0.00056,0.21096
CVE-2023-1007,0.00042,0.05636
CVE-2023-1008,0.00042,0.05636
CVE-2023-1009,0.00045,0.12135
CVE-2023-1010,0.00044,0.08275
CVE-2023-1015,0.00043,0.06927
CVE-2023-1017,0.00044,0.08287
CVE-2023-1018,0.00045,0.12380
CVE-2023-1022,0.00051,0.18021
CVE-2023-1023,0.00051,0.18021
CVE-2023-1024,0.00051,0.18021
CVE-2023-1026,0.00051,0.18021
CVE-2023-1027,0.00051,0.18021
CVE-2023-1028,0.00065,0.26540
CVE-2023-1029,0.00052,0.18409
CVE-2023-1030,0.00060,0.23410
CVE-2023-1033,0.00058,0.21890
CVE-2023-1034,0.00050,0.16929
CVE-2023-1035,0.00061,0.23827
CVE-2023-1036,0.00060,0.23410
CVE-2023-1037,0.00077,0.31329
CVE-2023-1038,0.00077,0.31329
CVE-2023-1039,0.00061,0.23827
CVE-2023-1040,0.00063,0.25249
CVE-2023-1041,0.00052,0.18464
CVE-2023-1042,0.00052,0.18464
CVE-2023-1043,0.00051,0.17664
CVE-2023-1044,0.00075,0.30193
CVE-2023-1045,0.00048,0.14533
CVE-2023-1046,0.00061,0.23827
CVE-2023-1047,0.00042,0.05636
CVE-2023-1048,0.00042,0.05636
CVE-2023-1053,0.00076,0.31056
CVE-2023-1054,0.00076,0.31056
CVE-2023-1055,0.00043,0.06927
CVE-2023-1056,0.00061,0.23827
CVE-2023-1057,0.00061,0.23827
CVE-2023-1058,0.00061,0.23827
CVE-2023-1059,0.00061,0.23827
CVE-2023-1061,0.00061,0.23827
CVE-2023-1062,0.00061,0.23827
CVE-2023-1063,0.00061,0.23827
CVE-2023-1064,0.00076,0.31056
CVE-2023-1065,0.00051,0.17551
CVE-2023-1067,0.00068,0.27624
CVE-2023-1068,0.00052,0.18409
CVE-2023-1070,0.00044,0.11053
CVE-2023-1072,0.00046,0.13906
CVE-2023-1080,0.00052,0.18409
CVE-2023-1081,0.00045,0.11838
CVE-2023-1084,0.00052,0.18265
CVE-2023-1091,0.00103,0.40552
CVE-2023-1095,0.00043,0.06927
CVE-2023-1097,0.00095,0.38522
CVE-2023-1099,0.00063,0.25249
CVE-2023-1100,0.00063,0.25249
CVE-2023-1101,0.00050,0.16929
CVE-2023-1103,0.00045,0.11838
CVE-2023-1104,0.00045,0.11838
CVE-2023-1105,0.00046,0.12673
CVE-2023-1106,0.00046,0.13906
